method,object_type,lighting,trial_id,seed,object_position,object_size,detected_position,detected_range,pos_error_mm,range_error_mm,detection_time_s,success_pos_2cm,success_range_2cm,success_both
hsv_depth,cube,dim,3,2876855544,"[0.38778472710766787, 0.02247502984383939, 0.02]","[0.105, 0.18, 0.022]","[0.3847480899122171, 0.022008411147121695, 0.022463553192343555]","[np.float64(0.33510587396830377), np.float64(0.4548265279564281), np.float64(-0.07292810409595213), np.float64(0.1233486123222431)]",3.9380188923401303,21.94605092485723,2.603970766067505,True,False,False
depth_clustering,cube,dim,3,2346517759,"[0.38778472710766787, 0.02247502984383939, 0.02]","[0.105, 0.18, 0.022]","[0.3822489920311196, 0.0212237085072976, 0.02167264583408171]","[np.float64(0.3350984293447724), np.float64(0.4414253674802061), np.float64(-0.06807936047918542), np.float64(0.11348249366170882)]",5.916748432313336,2.0494275231627017,17.808738946914673,True,True,True
hsv_depth,cube,dim,4,2947594969,"[0.36968187302171546, 0.04398187634445923, 0.02]","[0.105, 0.18, 0.022]","[0.3672142150004706, 0.042497613181012014, 0.022455668459098688]","[np.float64(0.31680287894578874), np.float64(0.43315428572174974), np.float64(-0.05044096107865738), np.float64(0.1458481550035703)]",3.784531784672001,19.85421211062332,2.6683578491210938,True,True,True
depth_clustering,cube,dim,4,2056551871,"[0.36968187302171546, 0.04398187634445923, 0.02]","[0.105, 0.18, 0.022]","[0.3644514803933627, 0.042517445373356486, 0.02171708747899703]","[np.float64(0.31678765951223753), np.float64(0.42325874207401243), np.float64(-0.04655325892144144), np.float64(0.13500757526098367)]",5.6964861560772615,2.1448280230789893,17.76486611366272,True,True,True
hsv_depth,cube,dim,5,465380067,"[0.35531192158811015, 0.020873380261253724, 0.02]","[0.105, 0.18, 0.022]","[0.35288421249437124, 0.01962257858774749, 0.02244548374684291]","[np.float64(0.3026324174432415), np.float64(0.41992089998053655), np.float64(-0.07460315085816197), np.float64(0.12155958679758175)]",3.665878752269557,20.303716201666195,2.6094179153442383,True,False,False
depth_clustering,cube,dim,5,2147018997,"[0.35531192158811015, 0.020873380261253724, 0.02]","[0.105, 0.18, 0.022]","[0.3502947887620719, 0.01953239767966015, 0.021783370637552542]","[np.float64(0.30262801497860914), np.float64(0.40892017541893677), np.float64(-0.06968204181658431), np.float64(0.11182059728988944)]",5.490925869936027,1.981818076376327,18.212364673614502,True,True,True
hsv_depth,cube,normal,0,352033275,"[-0.3297409736913825, 0.01039656466427978, 0.02]","[0.105, 0.18, 0.022]","[-0.32390088024396246, 0.01178134001578738, 0.02242715059921241]","[np.float64(-0.3920240075622467), np.float64(-0.2765099798966162), np.float64(-0.09008157844947566), np.float64(0.10539183860987135)]",6.47420684562971,18.707522905134592,3.369302749633789,True,True,True
depth_clustering,cube,normal,0,3475708675,"[-0.3297409736913825, 0.01039656466427978, 0.02]","[0.105, 0.18, 0.022]","[-0.3251275682236346, 0.011771280850254728, 0.02186746215846782]","[np.float64(-0.38330907494004013), np.float64(-0.2770653350103611), np.float64(-0.08055695404912266), np.float64(0.10109433286586639)]",5.163406774130537,2.067277796594367,12.337592124938965,True,True,True
hsv_depth,cube,normal,1,1505118089,"[-0.3004503616886585, 0.001096720616409197, 0.02]","[0.105, 0.18, 0.022]","[-0.29522252757545164, 0.00212128821506731, 0.02241304574295494]","[np.float64(-0.3586855455021092), np.float64(-0.24724142426040951), np.float64(-0.09976829763254613), np.float64(0.09568316975640333)]",5.848314119216112,16.74140206343227,3.378253221511841,True,True,True
depth_clustering,cube,normal,1,614883242,"[-0.3004503616886585, 0.001096720616409197, 0.02]","[0.105, 0.18, 0.022]","[-0.29632305318880103, 0.0025408991053490412, 0.02197031528379145]","[np.float64(-0.35398848600877175), np.float64(-0.24777293355869567), np.float64(-0.08986308859329645), np.float64(0.09178474111762827)]",4.796088956478455,2.0476597654620905,12.582403898239136,True,True,True
hsv_depth,cube,normal,2,2601417541,"[-0.3489009798572627, 0.039863911364556914, 0.02]","[0.105, 0.18, 0.022]","[-0.3426145715471393, 0.04127089338394758, 0.022430640714741656]","[np.float64(-0.4149680346808329), np.float64(-0.29583550965068345), np.float64(-0.059439173584876354), np.float64(0.13617672893631827)]",6.885240891111719,21.06144998045608,3.3586089611053467,True,False,False
depth_clustering,cube,normal,2,92335843,"[-0.3489009798572627, 0.039863911364556914, 0.02]","[0.105, 0.18, 0.022]","[-0.3439381045515135, 0.04122503034738658, 0.021797018958203636]","[np.float64(-0.4025173995966306), np.float64(-0.2962271170860008), np.float64(-0.051132793976176455), np.float64(0.13058799547491645)]",5.45087638109484,2.1508010815112053,12.069424867630005,True,True,True
hsv_depth,cube,normal,3,2289296302,"[-0.31870625087311055, 0.03920726827457814, 0.02]","[0.105, 0.18, 0.022]","[-0.3132339591683075, 0.040642156367679136, 0.022416740116684597]","[np.float64(-0.38050596570822137), np.float64(-0.26568753234393444), np.float64(-0.06029182689206708), np.float64(0.13549370225475899)]",6.151870701971242,18.589904899547996,3.378268003463745,True,True,True
depth_clustering,cube,normal,3,3757454338,"[-0.31870625087311055, 0.03920726827457814, 0.02]","[0.105, 0.18, 0.022]","[-0.3142394135788259, 0.04063357679789645, 0.021900447423973093]","[np.float64(-0.37230577223064654), np.float64(-0.26626083928308936), np.float64(-0.05175909766083578), np.float64(0.1299297029379116)]",5.059514979579432,1.9859336160154162,12.304724931716919,True,True,True
hsv_depth,cube,normal,4,3475044595,"[-0.34743276460331124, 0.02281754360378595, 0.02]","[0.105, 0.18, 0.022]","[-0.3407139421107874, 0.02396211130694488, 0.022433649490021912]","[np.float64(-0.4088974207623003), np.float64(-0.29425190498831977), np.float64(-0.0771105653734045), np.float64(0.11820193045935506)]",7.23707542819904,18.097196003093583,3.378689765930176,True,True,True
depth_clustering,cube,normal,4,3949416057,"[-0.34743276460331124, 0.02281754360378595, 0.02]","[0.105, 0.18, 0.022]","[-0.3425122466549142, 0.024153113798164014, 0.021805982253021047]","[np.float64(-0.40103680365800864), np.float64(-0.29475671176415247), np.float64(-0.0681558089193597), np.float64(0.1135236943229069)]",5.408957064244035,2.1117211931266957,12.082756757736206,True,True,True
hsv_depth,cube,normal,5,3511983747,"[-0.3317295750498117, 0.03150651128203454, 0.02]","[0.105, 0.18, 0.022]","[-0.3255169486459671, 0.03273153210099283, 0.022423611779140595]","[np.float64(-0.3942785198210546), np.float64(-0.2786602160036002), np.float64(-0.0680368211620353), np.float64(0.12743804127628983)]",6.780213632078096,18.767518308099596,3.3899991512298584,True,True,True
depth_clustering,cube,normal,5,3937063946,"[-0.3317295750498117, 0.03150651128203454, 0.02]","[0.105, 0.18, 0.022]","[-0.3270596708644631, 0.03290065027158075, 0.021858232855023377]","[np.float64(-0.3853115575526874), np.float64(-0.27905603807107715), np.float64(-0.05946768341587973), np.float64(0.12222258940779729)]",5.215808467150406,2.105552513513737,12.359611988067627,True,True,True
